,Ticker,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue,Enterprise Value/EBITDA,Beta (5Y Monthly),52-Week Change ,S&P500 52-Week Change ,52 Week High ,52 Week Low ,50-Day Moving Average ,200-Day Moving Average ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,% Held by Insiders ,% Held by Institutions ,Shares Short  ,Short Ratio  ,Short % of Float  ,Short % of Shares Outstanding  ,Shares Short  ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,5 Year Average Dividend Yield ,Payout Ratio ,Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
0,TSLA,81890000000000.0,95.76,45.05,1.26,13.55,22.85,12.19,57.15,2.19,-6.84,-15.36,414.5,206.86,289.36,290.37,7441000000.0,6762000000.0,313000000000.0,0.0,262000000000.0,16.43,44.24,6369000000.0,1.08,2.48,2.03,6033000000.0,0.0,0.0,0.0,0.0,0.0,0.0,14.17,16.14,10.96,29.89,6717000000000.0,21.93,41.6,1361000000000.0,1403000000000.0,952000000000.0,2.74,97.8,1892000000000.0,6.04,666000000000.0,17.7,1.43,11.65,1408000000000.0,596000000000.0
1,TTD,2874000000000.0,868.57,52.36,2.18,21.56,16.68,20.69,335.75,1.93,-9.57,-15.36,114.09,39.0,60.56,62.98,6000000.0,548000000.0,44402000000.0,0.0,4398000000.0,0.91,77.67,1736000000.0,4.07,4.49,3.56,1953000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43,2.86,0.77,2.26,139000000000.0,2.88,34.6,97491000000.0,809000000.0,3375000000.0,0.07,0.0,121000000000.0,2.48,26763000000.0,15.04,1.92,3.64,53103000000.0,49231000000.0
2,NVDA,29692000000000.0,39.67,36.1,3.13,10.34,12.67,9.98,31.73,1.69,-38.82,-15.36,346.47,119.46,157.04,203.58,5583000000.0,6041000000.0,249000000000.0,0.0,239000000000.0,4.1,65.27,3072000000.0,0.54,1.28,1.23,3132000000.0,0.16,0.13,0.16,0.13,0.21,5.23,26.03,31.48,14.25,34.41,2974000000000.0,11.89,3.0,1748000000000.0,1068000000000.0,774000000000.0,3.73,-72.4,1704000000000.0,6.84,1184000000000.0,49.63,3.62,9.58,755000000000.0,669000000000.0
3,GOOG,115000000000000.0,17.91,15.92,1.19,4.63,4.91,4.15,11.52,1.09,-27.08,-15.36,152.1,96.03,110.75,123.0,2494000000.0,2418000000.0,616000000000.0,0.0,1136000000000.0,0.04,64.0,3979000000.0,1.91,0.0,0.31,3699000000.0,0.0,0.0,0.0,0.0,0.0,0.0,25.89,29.65,14.93,29.22,27814000000000.0,21.03,12.6,1467000000000.0,9689000000000.0,7202000000000.0,5.26,-13.6,125000000000.0,9.58,2881000000000.0,11.28,2.81,19.53,95000000000.0,5107000000000.0
4,CRWD,3692000000000.0,0.0,136.99,3.4,20.71,31.39,20.13,-950.08,1.27,-30.87,-15.36,298.48,130.0,182.87,184.69,332000000.0,267000000.0,21483000000.0,0.0,21205000000.0,1.27,76.71,1418000000.0,3.62,6.7,6.08,1368000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.45,-7.08,-2.22,-15.86,183000000000.0,7.96,58.5,107000000000.0,-6564000000.0,-17324000000.0,-0.79,0.0,232000000000.0,9.94,77192000000.0,62.08,1.8,5.25,74364000000.0,65629000000.0
5,AMZN,122000000000000.0,101.76,46.95,4.5,2.38,8.76,2.5,23.97,1.33,-28.05,-15.36,188.11,101.26,129.57,137.03,5776000000.0,5744000000.0,1019000000000.0,0.0,917000000000.0,9.86,59.63,7785000000.0,1.6,0.88,0.76,7839000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,3.15,2.45,9.43,4859000000000.0,47.82,7.2,19748000000000.0,5262000000000.0,1161000000000.0,1.14,0.0,6071000000000.0,5.96,15756000000000.0,119.91,0.95,12.9,3557000000000.0,-1344000000000.0
6,IDXX,2901000000000.0,42.92,35.59,4.34,8.6,60.45,8.77,30.15,1.17,-45.24,-15.36,672.93,318.5,364.8,443.81,55421000.0,5747000.0,8325000000.0,0.0,8239000000.0,0.95,91.58,213000000.0,4.08,2.9,2.56,196000000.0,0.0,0.0,0.0,0.0,0.0,0.0,20.07,25.77,21.23,110.17,331000000000.0,39.12,4.2,189000000000.0,96136000000.0,66395000000.0,7.99,-34.9,11436000000.0,1.37,15000000000.0,327.52,0.89,5.48,57772000000.0,38585000000.0
7,MELI,4348000000000.0,175.75,72.99,0.98,4.69,26.37,4.92,48.52,1.63,-44.35,-15.36,1711.02,600.68,906.38,956.62,62966000.0,62819000.0,5034000000.0,0.0,463000000.0,8.25,83.27,113000000.0,1.8,2.43,2.24,84401000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69,6.63,4.16,28.57,883000000000.0,176.41,52.5,357000000000.0,88829000000.0,2373000000.0,4.7,80.9,223000000000.0,44.26,497000000000.0,314.56,1.3,31.39,164000000000.0,-171000000000.0
8,ABNB,6069000000000.0,53.06,37.04,0.0,9.46,13.0,8.22,41.09,0.0,-36.26,-15.36,212.58,86.71,114.61,134.82,607000000.0,572000000.0,39917000000.0,0.0,38465000000.0,1.46,65.38,183000000.0,3.66,4.66,2.86,1787000000.0,0.0,0.0,0.0,0.0,0.0,0.0,16.91,17.59,4.7,28.91,738000000000.0,11.7,57.6,484000000000.0,135000000000.0,125000000000.0,1.91,0.0,99000000000.0,15.47,238000000000.0,45.4,1.58,8.2,28000000000.0,23000000000.0
9,ZS,2283000000000.0,0.0,140.85,3.03,21.23,41.01,20.92,-81.42,1.02,-34.04,-15.36,376.11,125.12,165.4,201.67,228000000.0,183000000.0,14305000000.0,0.0,8518000000.0,40.52,47.43,701000000.0,2.65,8.2,4.9,635000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.77,-29.95,-8.02,-70.82,109000000000.0,7.74,61.4,85011000000.0,-29856000000.0,-39028000000.0,-2.67,0.0,173000000000.0,12.1,105000000000.0,182.4,1.99,4.01,32191000000.0,48098000000.0
