date,type,value
2020-01-23,Imported,1
2020-01-23,Local,0
2020-01-24,Imported,2
2020-01-24,Local,0
2020-01-25,Imported,1
2020-01-25,Local,0
2020-01-26,Imported,0
2020-01-26,Local,0
2020-01-27,Imported,1
2020-01-27,Local,0
2020-01-28,Imported,2
2020-01-28,Local,0
2020-01-29,Imported,3
2020-01-29,Local,0
2020-01-30,Imported,3
2020-01-30,Local,0
2020-01-31,Imported,3
2020-01-31,Local,0
2020-02-01,Imported,2
2020-02-01,Local,0
2020-02-02,Imported,0
2020-02-02,Local,0
2020-02-03,Imported,0
2020-02-03,Local,0
2020-02-04,Imported,2
2020-02-04,Local,4
2020-02-05,Imported,1
2020-02-05,Local,3
2020-02-06,Imported,0
2020-02-06,Local,2
2020-02-07,Imported,0
2020-02-07,Local,3
2020-02-08,Imported,0
2020-02-08,Local,7
2020-02-09,Imported,0
2020-02-09,Local,3
2020-02-10,Imported,1
2020-02-10,Local,1
2020-02-11,Imported,0
2020-02-11,Local,2
2020-02-12,Imported,0
2020-02-12,Local,3
2020-02-13,Imported,0
2020-02-13,Local,8
2020-02-14,Imported,0
2020-02-14,Local,9
2020-02-15,Imported,0
2020-02-15,Local,5
2020-02-16,Imported,0
2020-02-16,Local,3
2020-02-17,Imported,1
2020-02-17,Local,1
2020-02-18,Imported,0
2020-02-18,Local,4
2020-02-19,Imported,0
2020-02-19,Local,3
2020-02-20,Imported,0
2020-02-20,Local,1
2020-02-21,Imported,0
2020-02-21,Local,1
2020-02-22,Imported,1
2020-02-22,Local,2
2020-02-23,Imported,0
2020-02-23,Local,0
2020-02-24,Imported,0
2020-02-24,Local,1
2020-02-25,Imported,0
2020-02-25,Local,1
2020-02-26,Imported,0
2020-02-26,Local,2
2020-02-27,Imported,0
2020-02-27,Local,3
2020-02-28,Imported,0
2020-02-28,Local,2
2020-02-29,Imported,0
2020-02-29,Local,4
2020-03-01,Imported,0
2020-03-01,Local,4
2020-03-02,Imported,0
2020-03-02,Local,2
2020-03-03,Imported,0
2020-03-03,Local,2
2020-03-04,Imported,1
2020-03-04,Local,1
2020-03-05,Imported,1
2020-03-05,Local,4
2020-03-06,Imported,2
2020-03-06,Local,11
2020-03-07,Imported,2
2020-03-07,Local,6
2020-03-08,Imported,1
2020-03-08,Local,11
2020-03-09,Imported,3
2020-03-09,Local,7
2020-03-10,Imported,1
2020-03-10,Local,5
2020-03-11,Imported,9
2020-03-11,Local,3
2020-03-12,Imported,5
2020-03-12,Local,4
2020-03-13,Imported,9
2020-03-13,Local,4
2020-03-14,Imported,9
2020-03-14,Local,3
2020-03-15,Imported,9
2020-03-15,Local,5
2020-03-16,Imported,10
2020-03-16,Local,6
2020-03-17,Imported,18
2020-03-17,Local,6
2020-03-18,Imported,35
2020-03-18,Local,12
2020-03-19,Imported,25
2020-03-19,Local,7
2020-03-20,Imported,29
2020-03-20,Local,11
2020-03-21,Imported,39
2020-03-21,Local,8
2020-03-22,Imported,19
2020-03-22,Local,4
2020-03-23,Imported,48
2020-03-23,Local,6
2020-03-24,Imported,32
2020-03-24,Local,17
2020-03-25,Imported,40
2020-03-25,Local,33
2020-03-26,Imported,29
2020-03-26,Local,23
2020-03-27,Imported,22
2020-03-27,Local,27
2020-03-28,Imported,42
2020-03-28,Local,28
2020-03-29,Imported,23
2020-03-29,Local,19
2020-03-30,Imported,10
2020-03-30,Local,25
2020-03-31,Imported,16
2020-03-31,Local,31
2020-04-01,Imported,19
2020-04-01,Local,55
2020-04-02,Imported,8
2020-04-02,Local,41
2020-04-03,Imported,9
2020-04-03,Local,56
2020-04-04,Imported,7
2020-04-04,Local,68
2020-04-05,Imported,5
2020-04-05,Local,115
2020-04-06,Imported,3
2020-04-06,Local,63
2020-04-07,Imported,3
2020-04-07,Local,103
2020-04-08,Imported,4
2020-04-08,Local,138
2020-04-09,Imported,3
2020-04-09,Local,284
2020-04-10,Imported,1
2020-04-10,Local,197
2020-04-11,Imported,0
2020-04-11,Local,190
2020-04-12,Imported,0
2020-04-12,Local,233
2020-04-13,Imported,0
2020-04-13,Local,385
2020-04-14,Imported,0
2020-04-14,Local,334
2020-04-15,Imported,0
2020-04-15,Local,446
2020-04-16,Imported,0
2020-04-16,Local,727
2020-04-17,Imported,1
2020-04-17,Local,622
2020-04-18,Imported,1
2020-04-18,Local,941
2020-04-19,Imported,0
2020-04-19,Local,596
2020-04-20,Imported,0
2020-04-20,Local,1425
2020-04-21,Imported,0
2020-04-21,Local,1110
2020-04-22,Imported,0
2020-04-22,Local,1014
2020-04-23,Imported,0
2020-04-23,Local,1037
2020-04-24,Imported,0
2020-04-24,Local,896
2020-04-25,Imported,0
2020-04-25,Local,617
2020-04-26,Imported,2
2020-04-26,Local,929
2020-04-27,Imported,0
2020-04-27,Local,799
2020-04-28,Imported,0
2020-04-28,Local,528
2020-04-29,Imported,0
2020-04-29,Local,690
2020-04-30,Imported,0
2020-04-30,Local,527
2020-05-01,Imported,0
2020-05-01,Local,932
2020-05-02,Imported,0
2020-05-02,Local,447
2020-05-03,Imported,0
2020-05-03,Local,657
2020-05-04,Imported,0
2020-05-04,Local,572
2020-05-05,Imported,0
2020-05-05,Local,631
2020-05-06,Imported,0
2020-05-06,Local,787
2020-05-07,Imported,0
2020-05-07,Local,734
2020-05-08,Imported,0
2020-05-08,Local,740
2020-05-09,Imported,0
2020-05-09,Local,753
2020-05-10,Imported,1
2020-05-10,Local,875
2020-05-11,Imported,0
2020-05-11,Local,486
2020-05-12,Imported,0
2020-05-12,Local,884
2020-05-13,Imported,0
2020-05-13,Local,675
2020-05-14,Imported,0
2020-05-14,Local,752
2020-05-15,Imported,0
2020-05-15,Local,793
2020-05-16,Imported,0
2020-05-16,Local,465
2020-05-17,Imported,0
2020-05-17,Local,680
2020-05-18,Imported,0
2020-05-18,Local,305
2020-05-19,Imported,0
2020-05-19,Local,451
2020-05-20,Imported,0
2020-05-20,Local,570
2020-05-21,Imported,0
2020-05-21,Local,448
2020-05-22,Imported,0
2020-05-22,Local,614
2020-05-23,Imported,0
2020-05-23,Local,642
2020-05-24,Imported,0
2020-05-24,Local,548
2020-05-25,Imported,0
2020-05-25,Local,344
2020-05-26,Imported,0
2020-05-26,Local,383
2020-05-27,Imported,0
2020-05-27,Local,533
2020-05-28,Imported,0
2020-05-28,Local,373
2020-05-29,Imported,0
2020-05-29,Local,611
2020-05-30,Imported,0
2020-05-30,Local,506
2020-05-31,Imported,0
2020-05-31,Local,518
2020-06-01,Imported,0
2020-06-01,Local,408
2020-06-02,Imported,0
2020-06-02,Local,544
2020-06-03,Imported,0
2020-06-03,Local,568
2020-06-04,Imported,0
2020-06-04,Local,517
2020-06-05,Imported,0
2020-06-05,Local,261
2020-06-06,Imported,0
2020-06-06,Local,344
2020-06-07,Imported,0
2020-06-07,Local,383
2020-06-08,Imported,0
2020-06-08,Local,386
2020-06-09,Imported,0
2020-06-09,Local,218
2020-06-10,Imported,0
2020-06-10,Local,451
2020-06-11,Imported,0
2020-06-11,Local,421
2020-06-12,Imported,0
2020-06-12,Local,463
2020-06-13,Imported,0
2020-06-13,Local,347
2020-06-14,Imported,1
