Row Labels,Acute Viral Hepatitis A,Acute Viral hepatitis B,Acute Viral hepatitis C,Acute Viral Hepatitis E,Avian Influenza,Botulism,Campylobacter enteritis,Campylobacterenterosis,Chikungunya,Chikungunya Fever,Cholera,Dengue Fever,Dengue Haemorrhagic Fever,Diphtheria,Ebola Virus Disease,Encephalitis,Haemophilus influenzae type b,"Hand, Foot Mouth Disease",HFMD,Japanese Encephalitis,Legionellosis,Leptospirosis,Malaria,Measles,Melioidosis,Meningococcal Infection,Mumps,Murine Typhus,Nipah,Nipah virus infection,Paratyphoid,Pertussis,Plague,Pneumococcal Disease (invasive),Poliomyelitis,Rubella,Salmonellosis(non-enteric fevers),SARS,Tetanus,Typhoid,Viral Hepatitis A,Viral Hepatitis E,Yellow Fever,Zika,Zika Virus Infection,Grand Total
2012-W01,,,0,,0,,,6,,0,0,74,0,0,,0,0,326,,,0,,1,2,0,0,11,,,0,1,2,0,3,0,1,26,0,,6,1,3,0,,,463
2012-W02,,0,0,,0,,,7,,1,0,64,2,0,,0,0,346,,,0,,2,1,1,0,10,,,0,1,0,0,3,0,2,24,0,,3,2,0,0,,,469
2012-W03,,0,0,,0,,,9,,1,0,60,1,0,,3,0,463,,,0,,2,2,1,0,15,,,0,1,5,0,3,0,4,21,0,,5,3,0,0,,,599
2012-W04,,1,0,,0,,,8,,0,0,50,2,0,,1,0,372,,,1,,3,0,1,0,8,,,0,1,0,0,2,0,2,12,0,,1,3,2,0,,,470
2012-W05,,1,0,,0,,,8,,0,0,84,1,0,,0,0,444,,,0,,1,2,0,0,12,,,0,3,1,0,5,0,0,37,0,,5,2,0,0,,,606
2012-W06,,1,0,,0,,,5,,0,0,87,0,0,,2,0,683,,,1,,2,4,1,0,12,,,0,2,0,0,4,0,2,40,0,,0,0,4,0,,,850
2012-W07,,0,0,,0,,,8,,0,0,65,0,0,,0,0,810,,,0,,1,1,0,0,12,,,0,1,0,0,3,0,4,29,0,,2,0,2,0,,,938
2012-W08,,0,0,,0,,,8,,1,0,50,1,0,,0,0,989,,,0,,0,2,1,0,18,,,0,4,0,0,3,0,0,12,0,,3,0,3,0,,,1095
2012-W09,,2,0,,0,,,6,,1,0,55,0,0,,0,0,1115,,,1,,0,1,1,0,10,,,0,4,3,0,2,0,2,27,0,,1,2,0,0,,,1233
2012-W10,,3,1,,0,,,12,,2,0,45,1,0,,1,0,1139,,,1,,4,0,0,0,16,,,0,2,0,0,9,0,0,28,0,,1,2,3,0,,,1270
2012-W11,,0,0,,0,,,10,,0,0,64,0,0,,1,0,1011,,,1,,2,1,1,0,8,,,0,2,0,0,2,0,1,36,0,,1,1,2,0,,,1144
2012-W12,,1,0,,0,,,5,,0,0,72,1,0,,2,0,1018,,,1,,2,1,0,0,11,,,0,1,3,0,3,0,0,26,0,,1,0,2,0,,,1150
2012-W13,,2,0,,0,,,14,,0,0,48,0,0,,0,0,1017,,,2,,4,0,0,0,15,,,0,0,1,0,0,0,2,27,0,,2,1,2,0,,,1137
2012-W14,,0,0,,0,,,2,,0,0,52,0,0,,0,0,952,,,0,,2,0,0,0,6,,,0,0,1,0,1,0,2,27,0,,1,0,2,0,,,1048
2012-W15,,0,0,,0,,,12,,1,0,81,1,0,,0,0,1167,,,2,,2,0,1,0,13,,,0,2,0,0,1,0,2,25,0,,2,0,0,0,,,1312
2012-W16,,0,0,,0,,,6,,1,0,77,0,0,,0,0,1387,,,1,,4,0,1,0,15,,,0,0,0,0,2,0,2,36,0,,0,4,2,0,,,1538
2012-W17,,0,0,,0,,,14,,0,0,64,0,0,,1,0,1581,,,0,,2,1,1,0,13,,,0,2,0,0,7,0,3,27,0,,1,1,1,0,,,1719
2012-W18,,3,0,,0,,,2,,0,0,86,2,0,,0,0,1462,,,0,,2,1,1,0,13,,,0,1,0,0,3,0,2,21,0,,3,0,3,0,,,1605
2012-W19,,0,0,,0,,,12,,1,0,96,1,0,,0,0,1607,,,0,,1,1,0,0,19,,,0,0,0,0,1,0,2,34,0,,2,1,5,0,,,1783
2012-W20,,1,0,,0,,,7,,0,0,80,0,0,,0,0,1682,,,0,,2,0,2,0,11,,,0,3,1,0,2,0,0,28,0,,2,2,4,0,,,1827
2012-W21,,1,0,,0,,,6,,0,1,80,0,0,,0,0,1458,,,0,,1,0,0,0,10,,,0,0,0,0,3,0,1,32,0,,3,2,2,0,,,1600
2012-W22,,3,0,,0,,,7,,0,0,81,0,0,,0,0,1105,,,1,,2,1,1,0,5,,,0,1,1,0,3,0,1,30,0,,1,3,2,0,,,1248
2012-W23,,2,0,,0,,,7,,0,0,99,1,0,,0,0,981,,,0,,3,0,0,0,9,,,0,1,1,0,2,0,1,37,0,,2,2,0,0,,,1148
2012-W24,,0,0,,0,,,5,,0,0,87,1,0,,0,0,906,,,2,,3,1,1,0,11,,,0,0,0,0,6,0,1,27,0,,2,2,3,0,,,1058
2012-W25,,0,0,,0,,,11,,0,0,128,1,0,,1,0,794,,,1,,5,1,0,0,7,,,0,4,1,0,4,0,0,32,0,,2,2,0,0,,,994
2012-W26,,1,0,,0,,,4,,0,0,151,0,0,,0,0,728,,,0,,7,0,0,0,11,,,0,3,0,0,2,0,2,23,0,,1,0,2,0,,,935
2012-W27,,1,0,,0,,,9,,0,0,140,0,0,,0,0,686,,,0,,4,1,0,0,8,,,0,3,1,0,6,0,1,27,0,,3,3,4,0,,,897
2012-W28,,1,0,,0,,,10,,0,1,131,1,0,,0,1,681,,,0,,6,0,0,0,12,,,0,1,1,0,2,0,5,17,0,,0,2,5,0,,,877
2012-W29,,1,0,,0,,,4,,0,0,124,1,0,,0,0,754,,,1,,9,1,0,0,9,,,0,1,0,0,3,0,0,25,0,,2,4,4,0,,,943
2012-W30,,0,0,,0,,,11,,0,0,110,0,0,,0,0,868,,,2,,2,0,0,0,7,,,0,1,0,0,4,0,1,28,0,,0,2,0,0,,,1036
2012-W31,,0,0,,0,,,7,,0,0,94,0,0,,0,0,748,,,1,,5,0,0,0,11,,,0,1,0,0,2,0,0,39,0,,0,4,1,0,,,913
2012-W32,,2,0,,0,,,1,,0,0,127,0,0,,0,0,628,,,2,,4,1,0,0,11,,,0,0,0,0,6,0,1,28,0,,1,3,0,0,,,815
2012-W33,,1,0,,0,,,10,,0,0,115,0,0,,0,0,573,,,0,,4,0,2,0,7,,,0,1,0,0,4,0,2,33,0,,3,4,5,0,,,764
2012-W34,,1,0,,0,,,7,,0,0,92,0,0,,1,0,497,,,0,,4,1,2,0,15,,,0,2,1,0,3,0,0,25,0,,1,2,1,0,,,655
2012-W35,,2,0,,0,,,11,,0,0,102,0,0,,0,0,501,,,0,,1,1,0,0,13,,,0,2,0,0,5,0,3,42,0,,1,3,0,0,,,687
2012-W36,,1,0,,0,,,9,,0,0,75,1,0,,0,0,540,,,0,,1,0,2,0,7,,,0,1,0,0,0,0,0,28,0,,0,3,1,0,,,669
2012-W37,,1,0,,0,,,13,,0,0,73,1,0,,0,0,567,,,1,,1,0,0,0,10,,,0,0,0,0,3,0,0,38,0,,2,3,7,0,,,720
2012-W38,,4,0,,0,,,15,,0,0,72,0,0,,2,0,582,,,2,,5,1,1,0,9,,,0,0,0,0,4,0,0,37,0,,1,5,2,0,,,742
2012-W39,,1,0,,0,,,10,,0,0,99,1,0,,2,0,482,,,0,,4,2,1,0,7,,,0,1,0,0,3,0,1,35,0,,0,4,2,0,,,655
2012-W40,,0,1,,0,,,14,,1,0,103,1,0,,2,0,437,,,0,,3,0,2,0,10,,,0,0,0,0,4,0,0,31,0,,2,1,2,0,,,614
2012-W41,,2,0,,0,,,12,,1,0,122,1,0,,1,0,376,,,0,,3,0,0,0,7,,,0,0,0,0,2,0,0,23,0,,1,4,2,0,,,557
2012-W42,,3,0,,0,,,10,,2,0,105,0,0,,0,0,341,,,0,,5,0,1,0,5,,,0,1,0,0,2,0,1,24,0,,1,1,1,0,,,503
2012-W43,,1,0,,0,,,12,,1,0,84,0,0,,1,0,325,,,0,,5,0,2,0,7,,,0,0,0,0,2,0,2,26,0,,1,3,1,0,,,473
2012-W44,,1,0,,0,,,13,,1,0,104,0,0,,1,0,265,,,0,,1,2,0,0,11,,,0,0,0,0,7,0,2,27,0,,0,2,1,0,,,438
2012-W45,,0,0,,0,,,10,,0,0,99,1,0,,0,0,237,,,0,,1,3,0,0,11,,,0,0,0,0,3,0,2,33,0,,3,3,3,0,,,409
2012-W46,,0,0,,0,,,5,,1,0,87,1,0,,1,0,238,,,0,,1,1,0,0,5,,,0,0,1,0,1,0,1,32,0,,0,2,1,0,,,378
2012-W47,,1,0,,0,,,8,,0,0,99,1,0,,1,0,283,,,5,,1,1,2,0,6,,,0,0,0,0,3,0,0,24,0,,0,2,2,0,,,439
2012-W48,,5,0,,0,,,9,,0,0,80,0,0,,0,0,219,,,1,,3,0,0,0,13,,,0,0,0,0,6,0,1,35,0,,2,5,5,0,,,384
2012-W49,,1,0,,0,,,9,,3,0,78,0,0,,0,0,217,,,0,,3,0,0,0,7,,,0,1,0,0,2,0,2,35,0,,2,0,0,0,,,360
