,Metrics,CRWD,TEAM,ZS,NET,SNOW,HUBS,U,DDOG,DOCN,ZM,SEMR,MDB,SHOP
0,Market Cap (intraday) ,40.25B,60.02B,20.59B,19.23B,54.88B,14.89B,12.17B,30.68B,3.72B,24.05B,1.60B,16.82B,38.19B
1,Enterprise Value ,38.70B,59.88B,19.93B,19.15B,51.17B,14.39B,12.23B,29.78B,4.02B,18.62B,1.42B,16.21B,32.43B
2,Trailing P/E ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.69k,N/A,24.94,N/A,N/A,N/A
3,Forward P/E ,149.25,142.86,136.99,625.00,1.11k,96.15,N/A,92.59,34.72,21.93,N/A,N/A,1.43k
4,PEG Ratio (5 yr expected) ,3.68,4.69,2.73,N/A,5.55,2.52,N/A,1.58,N/A,11.09,N/A,N/A,N/A
5,Price/Sales (ttm),21.67,21.28,20.91,23.19,32.58,9.64,9.73,23.30,8.30,5.76,7.07,15.24,7.64
6,Price/Book (mrq),32.84,178.85,38.73,33.12,10.11,17.08,5.33,25.25,77.13,4.01,7.34,25.17,4.38
7,Enterprise Value/Revenue ,21.10,21.36,20.55,23.57,31.24,9.43,10.03,21.81,8.17,4.34,6.36,14.98,6.48
8,Enterprise Value/EBITDA ,-995.97,-134.62,-74.06,-119.54,-76.57,-608.11,-23.71,469.06,62.70,20.40,-281.86,-50.53,-16.81
9,Beta (5Y Monthly) ,1.28,1.01,1.03,1.22,N/A,1.60,N/A,1.15,N/A,-0.61,N/A,0.95,1.80
10,52-Week Change ,-36.05%,-39.11%,-48.70%,-55.28%,-45.12%,-54.10%,-70.06%,-29.43%,-45.34%,-73.07%,-57.72%,-50.00%,-80.41%
11,S&P500 52-Week Change ,-13.18%,-13.18%,-13.18%,-13.18%,-13.18%,-13.18%,-13.18%,-13.18%,-13.18%,-13.18%,-13.18%,-13.18%,-13.18%
12,52 Week High ,298.48,483.13,376.11,221.64,405.00,866.00,210.00,199.68,133.40,306.26,32.48,590.00,176.29
13,52 Week Low ,130.00,159.54,125.12,38.96,110.26,257.21,29.09,81.12,30.05,77.79,7.41,213.39,29.72
14,50-Day Moving Average ,186.10,229.63,161.29,58.16,158.06,327.27,43.11,103.58,42.91,103.83,12.74,316.82,35.33
15,200-Day Moving Average ,189.36,270.41,217.36,92.69,219.95,451.07,83.53,130.11,55.56,129.12,14.02,369.95,69.35
16,Avg Vol (3 month) ,3.65M,1.84M,2.01M,5.14M,7.21M,685.51k,9.6M,4.73M,1.72M,5.01M,189.42k,1.54M,33.22M
17,Avg Vol (10 day) ,5.27M,1.48M,1.86M,3.21M,10.89M,520.28k,5.7M,3.7M,1.08M,8.78M,167.07k,2.16M,26.28M
18,Shares Outstanding ,213.42M,144.82M,141.86M,283.02M,318.1M,48.02M,298.16M,290.82M,96.93M,250.98M,43.32M,68.11M,1.19B
19,Implied Shares Outstanding ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,Float ,210.51M,144.62M,84.22M,277.47M,265.64M,45.65M,189.42M,251.1M,44.22M,217.97M,29.27M,65.48M,1.18B
21,% Held by Insiders ,1.37%,0.32%,40.69%,6.17%,9.51%,4.91%,5.83%,9.68%,28.79%,12.41%,11.22%,3.68%,0.17%
22,% Held by Institutions ,77.51%,90.71%,47.66%,88.90%,67.70%,93.95%,77.84%,80.88%,53.76%,62.95%,79.26%,92.92%,61.44%
23,"Shares Short (Aug 14, 2022) ",12.9M,3.66M,6.35M,13.14M,12.15M,2.51M,33.54M,10.55M,8.84M,11.22M,1.07M,3.54M,45.49M
24,"Short Ratio (Aug 14, 2022) ",4.12,1.65,3.26,2.28,2.1,3.1,2.86,2.02,5.66,3.4,6.46,2.98,1.26
25,"Short % of Float (Aug 14, 2022) ",6.14%,2.90%,7.53%,5.88%,3.97%,6.16%,15.97%,3.73%,12.77%,4.46%,3.76%,6.06%,6.50%
26,"Short % of Shares Outstanding (Aug 14, 2022) ",5.56%,1.44%,4.47%,4.01%,3.82%,5.23%,11.25%,3.33%,9.12%,3.76%,0.76%,5.20%,3.59%
27,"Shares Short (prior month Jul 14, 2022) ",11.77M,3.36M,5.72M,16.95M,12.94M,2.6M,34.18M,9.26M,8.68M,10.32M,972.64k,3.87M,56.1M
28,Forward Annual Dividend Rate ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,Forward Annual Dividend Yield ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30,Trailing Annual Dividend Rate ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,Trailing Annual Dividend Yield ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
32,5 Year Average Dividend Yield ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
33,Payout Ratio ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
34,Dividend Date ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,Ex-Dividend Date ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36,Last Split Factor ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1
37,Last Split Date ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jun 28, 2022"
38,Fiscal Year Ends ,"Jan 30, 2022","Jun 29, 2022","Jul 30, 2021","Dec 30, 2021","Jan 30, 2022","Dec 30, 2021","Dec 30, 2021","Dec 30, 2021","Dec 30, 2021","Jan 30, 2022","Dec 30, 2021","Jan 30, 2022","Dec 30, 2021"
39,Most Recent Quarter (mrq),"Apr 29, 2022","Jun 29, 2022","Apr 29, 2022","Jun 29, 2022","Jul 30, 2022","Jun 29, 2022","Jun 29, 2022","Jun 29, 2022","Jun 29, 2022","Jul 30, 2022","Jun 29, 2022","Apr 29, 2022","Jun 29, 2022"
40,Profit Margin ,-11.08%,-21.91%,-38.52%,-35.66%,-41.25%,-6.28%,-54.01%,0.48%,-7.78%,23.06%,-6.88%,-32.75%,-38.01%
41,Operating Margin (ttm),-7.87%,-3.80%,-32.10%,-21.13%,-42.96%,-5.67%,-51.39%,0.79%,-6.47%,19.73%,-4.99%,-31.08%,-4.27%
42,Return on Assets (ttm),-2.40%,-2.11%,-8.49%,-5.48%,-6.72%,-2.52%,-10.44%,0.29%,-1.59%,7.28%,-2.70%,-9.96%,-1.17%
43,Return on Equity (ttm),-18.26%,-194.80%,-71.88%,-41.94%,-13.00%,-11.43%,-30.98%,0.62%,-8.45%,18.60%,-8.35%,-158.30%,-20.18%
