,Market Cap (intraday) ,Enterprise Value ,Trailing P/E ,Forward P/E ,PEG Ratio (5 yr expected) ,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue ,Enterprise Value/EBITDA ,Beta (5Y Monthly) ,52-Week Change ,S&P500 52-Week Change ,52 Week High ,52 Week Low ,50-Day Moving Average ,200-Day Moving Average ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,% Held by Insiders ,% Held by Institutions ,Shares Short  ,Short Ratio  ,Short % of Float  ,Short % of Shares Outstanding  ,Shares Short  ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,5 Year Average Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
CRWD,39.94B,38.40B,N/A,144.93,3.55,21.60,32.75,20.94,-988.16,1.28,-35.15%,-11.43%,298.48,130.00,185.63,188.40,3.56M,5.3M,213.42M,N/A,210.51M,1.37%,77.51%,12.9M,4.12,6.14%,5.56%,11.77M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2022","Apr 29, 2022",-11.08%,-7.87%,-2.40%,-18.26%,1.64B,7.15,61.10%,1.07B,-68.24M,-181.28M,-0.79,N/A,2.15B,9.28,772.05M,69.12,1.83,4.75,642.21M,588.47M
TEAM,59.25B,59.11B,N/A,140.85,4.63,21.01,176.56,21.09,-132.89,1.01,-37.86%,-11.43%,483.13,159.54,230.78,268.34,1.83M,1.32M,144.82M,N/A,144.62M,0.32%,90.71%,3.66M,1.65,2.90%,1.44%,3.36M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jun 29, 2022","Jun 29, 2022",-21.91%,-3.80%,-2.11%,-194.80%,2.8B,11.06,35.80%,2.34B,-77.73M,-614.12M,-2.86,N/A,1.47B,5.77,1.31B,391.68,1.19,1.32,883.5M,253.75M
ZS,20.59B,19.93B,N/A,136.99,2.73,20.91,38.73,20.55,-74.06,1.03,-47.29%,-11.43%,376.11,125.12,160.45,215.21,2.01M,1.85M,141.86M,N/A,84.22M,40.69%,47.66%,6.35M,3.26,7.53%,4.47%,5.72M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jul 30, 2021","Apr 29, 2022",-38.52%,-32.10%,-8.49%,-71.88%,969.96M,6.94,62.60%,524.02M,-283.47M,-373.65M,-2.67,N/A,1.66B,11.69,1.01B,189.10,2.24,3.75,263.51M,425.37M
NET,19.23B,19.15B,N/A,625.00,N/A,23.19,33.12,23.57,-119.54,1.22,-52.32%,-11.43%,221.64,38.96,58.53,91.14,5.16M,3.39M,283.02M,N/A,277.47M,6.17%,88.90%,13.14M,2.28,5.88%,4.01%,16.95M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",-35.66%,-21.13%,-5.48%,-41.94%,812.63M,2.53,53.90%,509.29M,-116.63M,-289.75M,-0.83,N/A,1.64B,5.01,1.57B,270.03,5.45,1.77,36.48M,91.88M
SNOW,54.88B,51.17B,N/A,1.11k,5.55,32.58,10.11,31.24,-76.57,N/A,-44.44%,-11.43%,405.00,110.26,159.01,217.71,7.25M,11.06M,318.1M,N/A,265.64M,9.51%,67.70%,12.15M,2.1,3.97%,3.82%,12.94M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2022","Jul 30, 2022",-41.25%,-42.96%,-6.72%,-13.00%,1.64B,5.26,82.70%,760.89M,-666.13M,-675.61M,-2.10,N/A,3.95B,12.42,241.76M,4.45,3.21,17.05,343.48M,608.1M
HUBS,15.14B,14.64B,N/A,98.04,2.56,9.80,17.38,9.60,-618.97,1.60,-57.13%,-11.43%,866.00,257.21,325.80,445.69,715.36k,695.64k,48.02M,N/A,45.65M,4.91%,93.95%,2.51M,3.1,6.16%,5.23%,2.6M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",-6.28%,-5.67%,-2.52%,-11.43%,1.53B,32.17,35.70%,1.04B,-63.48M,-95.81M,-1.36,N/A,1.25B,25.95,746.21M,85.63,2.31,18.19,260.98M,225.78M
U,12.17B,12.23B,N/A,N/A,N/A,9.73,5.33,10.03,-23.71,N/A,-70.84%,-11.43%,210.00,29.09,42.84,81.96,9.68M,5.9M,298.16M,N/A,189.42M,5.83%,77.84%,33.54M,2.86,15.97%,11.25%,34.18M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",-54.01%,-51.39%,-10.44%,-30.98%,1.22B,4.19,8.60%,862.33M,-502.04M,-658.52M,-2.10,N/A,1.75B,5.88,1.82B,79.59,3.44,7.66,62.54M,168.05M
DDOG,30.68B,29.78B,9.69k,92.59,1.58,23.30,25.25,21.81,469.06,1.15,-32.14%,-11.43%,199.68,81.12,103.09,129.15,4.71M,3.67M,290.82M,N/A,251.1M,9.68%,80.88%,10.55M,2.02,3.73%,3.33%,9.26M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",0.48%,0.79%,0.29%,0.62%,1.37B,4.37,73.90%,794.88M,35.63M,6.54M,0.00,N/A,1.7B,5.38,811.29M,66.77,3.31,3.84,403.52M,353.84M
DOCN,3.72B,4.02B,N/A,34.72,N/A,8.30,77.13,8.17,62.70,N/A,-41.43%,-11.43%,133.40,30.05,42.61,54.67,1.7M,1.12M,96.93M,N/A,44.22M,28.79%,53.76%,8.84M,5.66,12.77%,9.12%,8.68M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2021","Jun 29, 2022",-7.78%,-6.47%,-1.59%,-8.45%,492.3M,4.62,29.00%,257.97M,49.6M,-38.29M,-0.32,N/A,1.17B,12.03,1.47B,"3,037.97",16.59,0.50,148.57M,56.85M
ZM,24.05B,18.62B,24.94,21.93,11.09,5.76,4.01,4.34,20.40,-0.61,-72.62%,-11.43%,306.26,77.79,102.20,127.33,5.05M,5.59M,250.98M,N/A,217.97M,12.41%,62.95%,11.22M,3.4,4.46%,3.76%,10.32M,N/A,N/A,0.00,0.00%,N/A,0.00%,N/A,N/A,N/A,N/A,"Jan 30, 2022","Jul 30, 2022",23.06%,19.73%,7.28%,18.60%,4.3B,14.40,7.60%,3.05B,908.94M,990.14M,3.27,-85.60%,5.52B,18.55,97.94M,1.63,3.44,20.10,1.39B,1.45B
